origin,Travel Mangroove Forests,Apartemen Taman Melati,Waduk Setia Budi Timur,Aqua Fun,Jalan Pantai Karnaval Ancol,Key Park ( butterfly and rabbits),National Monument,Komodo Indonesian Fauna Museum and Reptile Park,Antara Gallery of Photo Journalism,Museum Of M. H. Thamrin,Taman Bmw,Museum Kehutanan Manggala Wanabakti,Allianz Eco Park,Al-Bina Mosque,Pancasila Sakti Monument,Taman Dadap Merah,Satriamandala Museum,Formulation of Proclamation Text Museum,Tugu Kunstkring Paleis,Irian Jaya Liberation Monument,National History Museum,Bentara Budaya Jakarta,Grand General Dr. A. H. Nasution Memorial Museum,Mausoleum OG Khouw,Taman Langsat,Proclamation of Independence Monument,Port of Tanjung Priok,National Museum,Museum Bank Indonesia,Taman Kodok Menteng,Palm Bay Water Park,CX WATER PARK,Tabebuya Park,Theater Garuda Taman Bhinneka Tunggal Ika,Jalan Jaksa,Musholla Pasar Malam CNI,Trans Snow World Juanda,Tribeca Park,Taman Maju Bersama,Taman Impian Jaya Ancol,Sea World Ancol,Sion Church,Situ Pamulang,Cibubur Park,Museum Perangko Indonesia,Ruang Pameran Mobil Antik Museum Joang 45,Taman Prasasti Museum,Museum Layang-layang Indonesia,Merdeka Square Jakarta,SS Waterpark TMII,Srengseng City Forest,Putri Duyung Waterpark,Pondok Indah Water Park,Ancol Beach Pool,Bridge of Love Taruma Jaya,Museum of East Timor,Art:1 New Museum,Taman Burung TMII,Taman Spatodhea,Basoeki Abdullah Museum,Museum Telekomunikasi,Universitas Indonesia - Danau Kenanga,East Java Pavilion,Taman Lapangan Banteng,Waterbom Pantai Indah Kapuk,Museum Kebangkitan Nasional,Museum Polri,Taman Ayodya,Waduk Pluit,Children Zoo,Taman Dukuh,Taman Wisata Alam Mangrove Angke Kapuk,Schmutzer Primate Center,Benteng Heritage Museum,Taman Menteng,Onrust Island,Muara Angke Wildlife Refuge,Church of Maria Bunda Karmel,Masjid Agung At Tin,Ants sculpture JGC,Museum Olahraga TMII,Taman Rusa Kemang Pratama,Parks Agro Tourism Cilangkap,Taman Pandang Istana,Sangga Buana,Kastil Batavia,Atlantis Water Adventure,Tugu Tani,Taman Buaya Tanjung Pasir,Pasar Seni,Nurul Iman Mosque Blok M Square,GREEN LAKE VIEW WATERPARK,Taman Suropati,Yerushalayim Bible Artefacts Museum,Hutan Kota Patriot Bina Bangsa Kota Bekasi,GO! Splash waterpark,Taman O,Kosan Muslimah Taman Cempaka,Museum of Fine Art and Ceramics,Museum of Textile,Waterpark Transera,Ragunan Zoo,Hutan Kota GBK,Setu Asih Pulo,Salihara Arts Center,Monas Dancing Fountain,Monumen Patung Dirgantara,Central Java Pavilion,Museum Sumpah Pemuda,Taman Potret,Setu Pedongkelan,Ocean Dream Samudra - Ancol,COMO Park,Eldorado Waterpark Legenda Wisata,Situ Gede Tangerang,Taman Swakarsa,Taman Gajah Tunggal,Taman Wisata Pasir Putih,Taman Mini Indonesia Indah,Taman Tangkuban Perahu,SnowBay Waterpark TMII,Dharma Bhakti Temple,Merdeka Palace,Venetian Water Carnaval,Taman Pemuda Pratama,skyrink Jakarta - Mall Taman Anggrek,Wayang Museum,Pondok Zidane,Sirkus Indoor Waterpark,Pelabuhan Perikanan Samudera Nizam Zachman,Taman Lembah Gurame,Taman Gunung Balong,Jakarta History Museum,Dunia Serangga,Pulau Bidadari,Kampung Main Cipulir,Curug Parigi,Sasmita Loka Ahmad Yani Museum,Taman Waduk Pluit,Taman Kota "Cattleya",Jakarta Planetarium,Masjid Al-Bakrie Taman Rasuna Jakarta,IMAGISPACE,Kidzania Jakarta,Setu Babakan,Taman Ria Atmaja,Playparq Kemang,Arina WaterPark,Museum Reksa Artha,Bartele Gallery,Taman Sepat,GONDOLA ANCOL STASIUN C,Dinosaur Adventure,Aditya Jaya Temple,Museum Pusaka,Danau Hutan Kota Kemayoran,Bayt Al Quran dan Museum Istiqlal,Taman Budaya Tionghoa,Danau Sunter Barat,Museum Keprajuritan Indonesia,Planetarium skyworld tmii,HUTAN KOTA WADUK CINCIN,Pasar Barang Antik,Indonesia Museum,Purna Bhakti Pertiwi Museum,Galeria Sophilia,Depok Fantasi Waterpark - Aladdin,JPG MTB PARK (MTB MEETING POINT) Jalur Pipa Gas MTB Community,Pesona Aquarium Kebagusan,Jakarta Cathedral,Taman Situ Lembang,Museum MACAN (Modern and Contemporary Art in Nusantara),Mangrove Ecotourism Centre PIK,Jakarta Bahari Museum,Pura Agung Tirta Bhuana Bekasi,National Gallery of Indonesia,Dunia Fantasi,Museum Listrik & Energi Baru TMII,Akili Museum of Art,Sarmiento Parakantja Timber,Jalan Gedung Kesenian,Taman Puring Market,Nofri kasur,Marunda Beach,Museum Transportasi,Pusat Peragaan Iptek - Kemenristekdikti,Kandank Jurank Doank,Taman Elektrik,Taman Ismail Marzuki,Dia.lo.gue,Boen Tek Bio Chinese Temple,Air Mancur Waduk Grogol,Istiqlal Mosque,Trans Studio Theme Park Cibubur,Taman Herbal Insani,UI Park,Museum Mandiri,Akses Hutan Lindung Angke Kapuk,Selamat Datang Monument,Jakarta,Pusat Kebudayaan Belanda Erasmus Huis,Museum Tragedi 12 Mei 1998 Universitas Trisakti
Taman Bmw,30713,43051,13736,3263,4588,39615,9836,30636,9187,12079,0,18331,3844,21111,29758,38474,23271,20329,11396,8278,1249461,19156,12333,17713,23985,18443,7253,11697,6503,12948,22946,31993,34214,29653,12390,23702,35217,14604,32259,3910,3540,6892,43100,37570,30292,10856,10690,32415,10482,29824,20623,47254,25567,3722,20626,3098378,6856,29761,38259,37893,28621,42170,786440,8910,14321,9899,22813,24432,8814,37129,28685,16864,38939,31633,12352,26635,15320,18715,27420,18351,28476,32593,35510,10149,1599653,6946,3739,10239,34052,1604256,23950,43342,12602,10171,31743,27229,36449,33252,8473,18994,22133,37011,21815,44569,29748,10508,24168,30127,12724,39136,37148,3033,26774,46977,32690,27494,39367,56252,27640,20606,28517,8647,1722270,38523,48488,14896,6804,57665,33014,11285,50328,32538,6772,30654,26635,23891,37940,13457,10058,19481,11403,20915,23789,20637,42663,30163,25534,53613,30825,12897,35364,3434,30504,17066,30627,3587,27736,30490,4305,30604,28678,2906,12618,28503,27799,4900,49348,45730,37420,8403,12788,18601,13486,7706,26278,9597,4374,30255,25839,1144692,7966,24098,-1,15144,30152,30334,39980,29735,11741,27283,31717,11195,8526,36351,56384,42397,6454,18991,12717,19091,22480,15476
Museum Kehutanan Manggala Wanabakti,32107,24364,8396,18240,19565,27523,9186,21415,9151,8907,21600,0,17329,4159,20537,22353,6906,6218,8807,8893,1267608,1167,7752,2470,5468,8013,25400,8334,11933,8555,20293,22772,17849,20432,6930,12111,30743,5296,23038,15706,18215,14393,17925,28349,21071,7833,6524,14712,8620,20603,5226,30889,7578,18699,40718,3093918,18028,20540,19730,12627,19400,23484,781980,8896,15715,8390,6448,5610,13384,16790,19464,18258,18496,29146,7012,28029,16714,9293,18199,36188,19255,28119,26289,8768,1595193,14263,17836,7216,35446,1622404,6380,34121,7617,25048,27269,41425,27227,24031,12912,3751,38230,16653,4863,28204,12207,8645,7812,20906,9552,27043,27927,18009,10409,37756,28755,21557,27274,30911,18419,5654,19296,12025,1717810,34048,22957,5589,12235,32324,26557,16184,25856,14471,12202,21433,28029,5902,33700,5688,13810,4184,8847,7282,5799,4272,23976,20942,9169,24882,13122,6259,19243,18109,21283,19878,21406,20892,18515,21269,22947,21383,19457,21392,7023,19282,18578,22115,40127,24984,17081,9624,7023,6465,14880,13716,22820,9583,16571,21034,10942,1140232,9187,5307,-1,35236,20931,21113,19234,26946,9185,10917,29076,9209,8814,27130,31209,23711,11884,20385,6310,7883,6115,6181
Allianz Eco Park,31330,42949,13648,1830,3431,40233,9748,30534,9099,11879,4370,18948,0,21729,29656,38372,23888,20226,11308,8190,1252530,19773,12245,18330,24603,18341,10321,11609,5258,12860,23563,31891,42415,29551,12302,24320,39969,15221,32157,2690,1370,5928,43717,37468,30190,10768,10602,40652,10394,29722,21240,55455,26185,2289,23694,3103144,5981,29659,38157,38510,28519,42068,791205,8822,14938,10516,23430,25049,7744,37027,28583,17482,38837,32250,12264,27253,15937,19332,27318,21419,28374,37344,35408,10061,1604419,5701,410,10151,34670,1607325,24567,43240,12514,10069,36494,30297,36346,33150,6609,19611,33010,36909,22433,52770,30560,10420,24785,30025,12524,39753,37046,1671,27391,46875,33307,27392,39985,56150,27538,20504,28415,7437,1727036,43274,48386,15513,5559,57563,38143,10216,50226,40775,5527,30552,27253,24509,43069,20757,8989,20098,11315,20813,24406,21255,42561,30061,26151,54231,39062,12809,35262,1264,30402,16964,30525,6470,27634,30388,8525,30502,28575,6313,12530,28401,27697,7692,49246,46347,37318,8315,12700,19218,14103,6636,31407,9509,1202,30153,26456,1149458,7878,24715,-1,18212,30050,30232,40598,30352,11653,27900,32334,11812,8438,36249,57001,42295,5209,19609,12629,18989,23098,16094
Al-Bina Mosque,34402,23208,7060,20535,21860,29817,7849,20259,9788,9283,23895,4134,19623,0,19381,20115,5750,6896,7471,9279,1269903,4967,6415,4767,6478,8850,27695,6997,14228,7219,22587,21616,16707,19276,7316,14405,29587,7585,21882,18001,20509,16688,21725,27194,19915,8219,8068,14908,7284,19447,9110,29747,11378,20993,47915,3092762,20323,19384,18588,13377,18245,22328,780824,9282,18009,8776,5306,6925,15678,14965,18308,20553,16671,31441,5676,30324,19009,11587,17044,35033,18100,26963,25133,9504,1594037,16558,20130,7602,37741,1624698,6443,32966,6280,27343,26113,40269,26072,22875,15207,6048,37074,14828,1084,27062,11052,7309,6656,19750,9928,29338,26771,20304,9253,36600,31049,20401,29569,29769,17264,6491,18140,10978,1716654,32893,21815,7877,14530,31182,25401,18478,24714,15031,14497,20277,30324,9702,32545,6525,16104,6472,7510,7780,9600,3130,22820,19786,8013,28682,13318,4923,24987,20403,20127,18722,20250,23187,17359,20113,22724,20227,18301,23686,7399,18126,17423,12143,38971,36032,15256,10261,6999,11473,17175,16011,21664,9968,18866,19879,13236,1139076,9823,6591,-1,42433,19775,19957,30283,29241,7849,9762,31370,11504,9200,25974,35009,22555,14179,22680,4973,8720,4960,8476
Pancasila Sakti Monument,50400,21089,21229,29513,30838,45816,24031,5832,23709,19585,24968,20143,30094,20777,0,16513,16157,21000,21710,22632,1272632,20976,20854,20776,21430,19115,30424,23179,30226,21515,38586,9316,20556,4850,23497,30404,19842,23583,7339,30160,29790,33142,26338,17835,5489,22152,24250,18793,23466,5021,25119,33596,21961,29972,38169,3083017,26474,2819,16298,17262,5944,20209,771079,22635,34008,21539,20257,21877,31677,15167,6132,36551,16978,47439,21857,46322,35007,27586,4743,25287,5799,17218,9402,23979,1584292,32556,29989,21628,53739,1627427,21394,23607,22462,25280,16368,30524,13113,7144,31205,22057,27329,15050,20300,30911,17469,23491,13095,5323,20230,45336,13812,29282,16680,27241,47048,10656,45568,33618,2968,18790,5840,30318,1706909,23147,28752,23876,30528,35031,8836,34477,30593,18916,30495,5850,46322,25711,14010,20478,32103,22471,21574,16943,25609,18082,20701,5360,17920,33294,17203,21104,13403,29684,5700,17967,5824,25121,4027,5687,21968,5801,4117,25732,20729,4691,5122,23831,29612,37874,15459,22925,20844,27472,33173,32009,13589,23200,30624,5452,29235,1129331,23098,21542,-1,32688,5349,5530,32125,45239,21912,17019,47369,27502,23048,16615,39622,20436,30177,38678,21155,19762,15408,24474
Taman Dadap Merah,44924,10166,17472,32766,34091,37641,20264,15631,22203,16574,36127,16376,31855,17010,17734,0,12400,15660,16551,21694,1276164,17209,17097,17009,16012,14883,33956,19412,26460,16356,29946,15499,3767,14648,19731,23644,32364,19817,16265,30233,32741,28920,17233,21758,15288,20634,20483,9689,19699,14819,21902,17794,12857,33225,52837,3097779,32554,17004,1302,8157,13594,9285,785841,21697,33794,21191,15019,13115,27910,6047,12517,31804,4511,39265,18091,40846,35249,23819,15389,39954,13449,26453,19516,21919,1599054,28789,32362,17039,48263,1630959,13206,15601,15581,28812,28890,43046,15671,17258,27438,18290,41996,1464,16533,15109,6709,19724,9327,15122,17219,37161,9685,32536,7576,31164,38873,23178,37393,17076,13338,15022,13513,26552,1721671,35669,7892,20109,26761,18489,19783,30710,10329,9812,26729,15649,40846,19428,24957,15222,28336,18704,16590,13176,15223,14315,5427,15158,8815,24190,8099,17338,2995,32635,15499,21499,15622,35418,15705,15486,25500,15600,14087,29264,15504,13498,12795,27363,15168,28769,6338,22676,15504,24254,34402,28242,28256,22383,31097,15251,28851,1144093,22238,16355,-1,47355,15148,15329,23020,36599,16929,7914,39194,23736,21615,20539,30517,9512,26411,33931,17388,14753,11651,20707
Satriamandala Museum,34264,23272,7095,20397,21722,29680,7885,20322,9823,9318,23757,3996,19485,4630,19445,18921,0,6931,7506,9314,1269765,4829,6451,4629,5284,8885,27557,7033,14090,7254,22450,21680,15512,19339,7351,14267,29651,7447,21945,17863,20371,16550,21588,27257,19979,8255,8103,13713,7319,19510,8972,28553,11241,20855,42875,3092825,20185,19448,17394,12182,18308,22391,780887,9317,17871,8811,4111,5730,15541,13770,18371,20415,15477,31303,5711,30186,18871,11450,17107,35096,18163,27026,25196,9539,1594101,16420,19992,7638,37603,1624560,5248,33029,6316,27205,26176,40333,26135,22938,15069,5910,37138,13633,4154,25868,11115,7344,6719,19813,9963,29200,26834,20166,9898,36663,30911,20465,29431,28574,17327,6526,18204,11014,1716718,32956,20620,7740,14392,29987,25464,18341,23520,13836,14359,20340,30186,8883,32608,6560,15966,6335,7546,7815,9462,1936,21914,19850,8076,28544,12123,4958,16233,20265,20190,18786,20314,23049,17423,20177,25104,20291,18364,23548,7434,18189,17486,12179,39034,35894,14062,10296,7034,11335,17037,15873,21728,10004,18728,19942,13099,1139140,9859,5396,-1,37393,19839,20020,30145,29103,7884,9151,31232,11366,9235,26038,34871,22618,14041,22542,5009,8755,5023,8338
Formulation of Proclamation Text Museum,37134,23340,1248,12699,14138,32550,4160,21961,5759,4218,12121,6867,11482,7501,21083,21612,6739,0,3370,5177,1263371,7700,2314,7499,7975,5231,21162,3308,7813,2155,25320,23318,18204,20978,3214,17138,31289,10318,23584,10260,12976,11129,23961,28895,21617,4118,4379,16405,3594,21149,11842,31244,11863,13157,31615,3094464,9103,21086,20085,14874,19946,22459,782526,5180,20742,4674,6803,8422,18411,13061,20009,23286,14445,34174,1574,33056,21741,14320,18745,36734,19801,28664,26835,5402,1595739,9229,11843,3501,40473,1618166,7940,34667,1216,16018,27815,41971,27773,24577,8792,4806,22462,12924,6845,28559,11212,3620,6787,21452,4863,32070,28472,12468,9413,38301,33782,22103,32302,31266,18965,2526,19842,7289,1718356,34594,23312,10610,8115,32679,27102,21211,26211,16528,8082,21979,33056,11575,34246,2899,18837,9205,3409,4647,10084,4627,22952,21488,8174,30917,14815,1042,15511,12870,21829,8716,21952,11897,19061,21815,11111,21929,20002,13582,2334,19828,19124,8115,40673,28589,13353,6232,1934,14206,19907,18743,23366,5867,10725,21580,15969,1140778,5795,8088,-1,26133,21477,21658,22839,31973,3747,9915,34103,14237,5099,27676,37245,22686,7764,25413,1284,5101,5156,11208
Tugu Kunstkring Paleis,38206,24828,2737,10723,12162,30421,1934,23032,3784,4224,10145,7938,9507,8572,22154,22684,8227,1581,0,3202,1260219,8771,988,5980,9047,4593,18011,3206,7403,1603,23191,24390,19275,22049,3329,15009,32360,8114,24655,8285,11000,9154,25032,29967,22688,2541,3968,17476,3761,22220,12914,32316,12934,11182,31621,3095535,7128,22158,21157,15945,21018,23948,783597,3205,21813,3098,7874,9493,11299,14550,21081,24357,15934,32045,1353,34128,22813,12191,19817,21119,20873,29736,27906,3427,1596811,8818,9868,1264,41545,1615014,9011,35739,1257,16024,28886,43042,28845,25648,8381,5020,22468,14413,7917,29631,12701,3786,8276,22523,3876,29942,29544,10493,10902,39373,31653,23174,30173,32338,20037,2234,20914,6878,1719428,35666,24383,8406,7704,33750,28174,13770,27283,17599,7672,23050,34128,12646,35318,2112,19908,10277,1923,3862,11155,5699,24440,22559,9662,31989,15886,2114,17000,10894,22900,8722,23023,9921,20132,22886,9136,23000,21074,11606,2090,20899,20196,6139,41744,29660,14842,4257,1443,12077,20979,10190,24437,3892,8749,22652,13840,1141849,3819,9159,-1,26139,22548,22730,23911,25537,2261,11404,31974,9470,3123,28747,38316,24175,7354,26484,2356,4463,6644,8036
Irian Jaya Liberation Monument,35259,35418,5418,7808,9247,28119,1518,23003,869,4480,7230,7889,6592,11149,22125,30842,11100,4608,3078,0,1257304,8714,4015,6261,11623,5223,15095,3379,5072,4630,20889,24360,21852,22020,4072,12707,32438,5811,24626,5369,8085,6239,31704,29938,22659,2538,2372,20053,2164,22191,11797,34892,15511,8267,28217,3095613,4213,22128,23733,18522,20989,34537,783675,0,18867,3094,10451,12070,8969,20110,21052,21411,21816,29743,4034,31181,19866,9889,19788,19880,20844,29814,27877,1831,1596888,6488,6952,1921,38598,1612099,11588,35710,4284,12620,28964,43120,28816,25619,6051,5301,21229,19973,10493,32207,16401,2190,12006,22494,5125,27639,29515,7577,14602,39344,29351,17752,27871,34914,20008,5261,20884,4548,1719505,35743,26960,6104,5374,36327,28145,11440,29859,20176,5341,23021,31181,15223,33319,5139,10213,9500,3085,7695,13732,8275,35030,22530,13363,42217,18463,4579,27731,7979,22871,9140,22994,7006,20103,22857,6221,22971,21045,8691,4300,20870,20167,3224,41715,34334,20401,85,4470,9775,18032,7860,24515,1279,5834,22623,11538,1141927,904,11736,-1,22735,22519,22701,28584,23207,3423,15111,29672,7140,208,28718,44988,34764,5023,23538,4399,5870,10309,5706
National History Museum,1439656,1445566,1424092,1412206,1413531,1448558,1418778,1433151,1418129,1421429,1410204,1427273,1412787,1430054,1432274,1440990,1430807,1422844,1420338,1417220,0,1428099,1423387,1426656,1432928,1420959,1405820,1420639,1415445,1423360,1431889,1434509,1445032,1432168,1421333,1432645,1437475,1423546,1434774,1412852,1412483,1415835,1450815,1440086,1432808,1419798,1419632,1443270,1419425,1432339,1429565,1458073,1434510,1412664,1422883,4500636,1415798,1432277,1440775,1441739,1431137,1444686,2188697,1417853,1423263,1418842,1431755,1433375,1417757,1439644,1431200,1425807,1441455,1440575,1423169,1435578,1424263,1427658,1429936,1420608,1430992,1434851,1438025,1419091,3001911,1415889,1412681,1419181,1442995,356043,1432892,1445858,1422864,1412162,1434001,1429486,1438964,1435767,1417415,1427937,1424391,1439526,1430758,1455388,1433177,1419450,1427745,1432642,1422074,1448078,1439663,1411975,1434147,1449492,1441633,1430644,1448310,1458768,1430156,1423121,1431033,1417590,2537466,1440780,1451003,1423839,1415747,1460180,1435272,1420228,1452844,1443393,1415714,1433169,1435578,1432834,1440197,1423375,1419001,1428424,1420345,1423431,1432731,1429580,1445178,1432678,1432908,1457771,1441680,1421839,1437880,1412377,1433019,1419582,1433143,1413294,1430252,1433006,1414012,1433120,1431193,1409707,1422573,1431018,1430315,1416018,1451863,1454672,1439936,1417346,1422688,1427543,1422429,1416648,1428535,1418540,1413317,1432771,1434781,2546950,1416909,1433040,-1,1417401,1432668,1432849,1448923,1438678,1420683,1434656,1440660,1420138,1417469,1438867,1464098,1444913,1415396,1427934,1421660,1421606,1430058,1424419
Bentara Budaya Jakarta,31649,24858,6721,17782,19107,27065,6566,21909,8694,8449,21142,2475,16871,5249,21031,29747,7407,5761,7612,8435,1267151,0,6540,2012,7601,7555,24942,6019,11476,6701,19835,23266,18350,20926,6472,11653,31237,4838,23532,15249,17757,13936,20059,28843,21565,7375,6066,16551,6001,21097,4768,31390,9711,18241,40260,3094412,17570,21034,20231,15020,19894,23978,782474,8438,15257,7932,6948,7743,12926,16608,19957,17800,18314,28688,7513,27571,16256,8835,18693,36682,19749,28612,26783,8311,1595687,13805,17378,6758,34988,1621946,8085,34615,5762,24591,27763,41919,27721,24525,12454,3293,38724,16471,5953,28705,12708,6026,8306,21400,9094,26585,28420,17552,10909,38249,28297,22051,26817,31412,18913,5196,19790,11567,1718304,34542,23458,5131,11777,32825,27050,15726,26357,16674,11745,21927,27571,6906,34194,5230,13352,3726,7651,6824,7933,4773,24470,21436,9670,27015,14961,6760,26637,17651,21777,12748,21900,20434,19009,21763,22490,21877,19950,20934,6565,19776,19072,21657,40621,33280,16899,9166,6565,8721,14422,13258,24984,9125,16113,21528,10484,1140726,8729,7440,-1,34778,21425,21606,27530,26488,7990,11418,28618,8751,8356,27624,33342,24205,11426,19927,6811,7425,6616,5723
Grand General Dr. A. H. Nasution Memorial Museum,38186,25962,2458,10903,12343,30601,2115,23013,3964,3945,10326,7919,9687,8553,22135,22664,8504,1302,1386,3382,1260399,8752,0,6372,9027,4314,18191,3386,7583,1324,23371,24370,19256,22030,3758,15189,32341,8294,24636,8465,11180,9334,25013,29947,22669,2878,4148,17457,3941,22201,12894,32296,12915,11362,29930,3095516,7308,22138,21137,15926,20998,25082,783578,3385,21794,3435,7855,9474,11479,14271,21062,24338,15655,32225,1074,34109,22793,12371,19797,21594,20853,29717,27887,3607,1596791,8999,10048,1444,41526,1615194,8992,35719,978,14333,28867,43023,28825,25629,8561,5412,22943,14134,7897,29611,12422,3966,9410,22504,3597,30122,29525,10673,10623,39354,31833,23155,30353,32318,20017,1955,20894,7058,1719408,35646,24364,8586,7884,33731,28154,13950,27263,17580,7852,23031,34109,12627,35298,1833,19889,10257,1644,3583,11136,5679,25574,22540,9384,31969,15867,2094,27741,11074,22881,8443,23004,10102,20113,22867,9316,22981,21054,11787,1811,20880,20176,6319,41725,36816,14563,4437,1164,12257,20959,10370,24418,4072,8929,22632,14020,1141830,3999,9140,-1,24448,22529,22711,31067,25717,1982,11125,32154,9650,3303,28728,38297,25309,7534,26465,2336,4184,6366,8216
Mausoleum OG Khouw,31718,24309,6666,17851,19176,27133,4621,21359,6267,8393,21211,1925,16939,4699,20481,29198,6857,5705,5971,6490,1267219,2751,7703,0,7052,7499,25011,4074,11544,8507,19904,22717,17800,20376,4527,11721,30687,4907,22982,15317,17825,14004,19509,28294,21015,5431,4121,16001,4056,20547,6423,30841,9162,18309,40329,3093862,9612,20485,19682,14470,19345,23428,781924,6493,15325,5987,6399,7194,12995,16058,19408,17869,17765,28757,6963,27640,16325,8904,18144,36133,19200,28063,26233,5884,1595138,13874,17446,4814,35057,1622014,7536,34066,7568,24659,27213,41370,27172,23975,12523,1348,38174,15921,5403,28156,12159,4081,7756,20850,6657,26654,27871,17620,10360,37700,28365,21501,26885,30862,18364,5140,19241,7458,1717755,33993,22908,5199,11846,32275,26501,15795,25808,16124,11813,21377,27640,7486,33645,5175,13420,3794,5978,6768,7383,4224,23920,20886,9120,26466,14411,6211,26087,17719,21227,19823,21350,20503,18459,21213,11620,21327,19401,21002,6509,19226,18523,8623,40071,33348,16350,6740,6509,8789,14491,13327,22764,7180,16182,20979,10553,1140177,6303,6891,-1,34847,20875,21057,27599,26557,6316,10869,28686,8820,6411,27074,32793,23655,11495,19996,6261,7369,6067,5792
Taman Langsat,35148,23220,9387,22862,24187,27866,10176,20366,12115,11610,26222,6887,21950,4255,19489,15747,6179,9223,9798,11605,1272230,6708,8742,6778,0,11177,30022,9324,16555,9546,20171,19973,12339,19384,9643,16732,29694,9912,20739,20328,22836,19015,14600,27301,20023,10546,10395,10540,9611,19554,7744,25379,2720,23320,48022,3092869,22650,21478,14220,9302,18352,22340,780932,11608,20336,11103,1523,571,18005,10597,16991,22028,12303,29489,8003,31071,21336,10633,17151,35140,18207,27070,23990,11831,1594145,18885,22457,9929,38488,1627025,1297,33073,8607,26142,26220,40377,21218,21732,17534,8059,37182,10460,3411,22694,11424,9636,6756,19857,12255,27386,22740,22631,6725,36707,29098,20509,27618,25401,17371,8818,18248,13305,1716762,33000,17447,10204,16857,26814,24257,20805,20346,10663,16824,20384,31071,3965,29431,8852,18431,8799,9837,9017,2474,3868,18741,19893,5577,21556,8950,7250,13059,22730,20234,18830,20357,25514,17467,20221,22831,20335,18408,26013,9726,18233,17530,14470,26538,20979,10888,12588,9325,8982,19502,18338,23442,12295,21192,19986,12108,1139184,12150,478,-1,42540,19883,20064,15229,26824,10176,5978,29419,13831,11527,26082,27884,22567,16506,24155,7300,11047,5439,10803
Proclamation of Independence Monument,39019,32240,3133,17497,18822,34435,3754,19825,5603,2320,11233,8752,18078,9386,18947,27663,8624,1885,2595,5368,1260616,9585,2428,9384,9860,0,18408,5193,9222,2401,27205,21182,20089,18842,5099,19023,29260,12203,21448,9372,17774,10241,25846,26759,19481,4887,5787,18290,5580,19013,13727,33129,13748,17956,28860,3092435,8215,18950,27448,16759,17810,31359,780496,5371,22627,4274,8688,10307,23035,14946,17874,25171,28128,36059,2210,34942,23626,16205,16609,18358,17665,26635,24699,5246,1593710,10638,17973,3083,42359,1615411,9825,32531,1905,13264,25785,39942,25637,22441,10200,6691,19707,14809,8730,30444,13097,5605,6020,19316,2965,33956,26337,17267,11298,36166,35667,14525,34187,33151,16829,2538,17706,8697,1716327,32565,25197,12495,9523,34564,24966,25506,39517,18413,9491,19843,34942,13460,30140,2416,20722,11090,2635,4166,11969,6512,31851,19352,10059,32802,16700,2927,24553,17668,19693,5961,19816,11009,16925,19679,9951,19793,17866,13697,1614,17692,16988,7226,38537,30474,15238,5661,1729,16091,21792,21926,17414,5936,9836,19444,17854,1138749,5833,9973,-1,23378,19341,19523,24724,33858,2973,11800,35988,16122,4942,25540,39130,31586,9173,27298,3169,2608,7041,13094
Port of Tanjung Priok,36678,42589,21115,9228,10553,45580,15801,30174,15152,18452,7227,24295,9809,27076,29296,38012,27830,19866,17361,14243,1245051,25121,20409,23678,29950,17981,0,17662,12468,20382,28911,31531,42055,29191,18355,29667,34497,20569,31797,9875,9505,12857,47837,37108,29830,16821,16655,40292,16447,29362,26588,55095,31532,9687,19906,3097658,12821,29299,37797,38761,28159,41708,785720,14875,20286,15864,28778,30397,14779,36666,28223,22829,38477,37598,20191,32600,21285,24680,26958,17631,28014,31873,35048,16114,1598933,12911,9704,16204,40017,1599846,29915,42880,19887,9184,31023,26509,35986,32790,14438,24959,21413,36549,27780,52410,30200,16473,24767,29665,19097,45101,36686,8997,31170,46515,38655,27667,45332,55790,27178,20144,28055,14612,1134488,37803,48026,20861,12769,57203,32294,17250,49866,40415,12737,30192,32600,29856,37220,20397,16023,25446,17368,20453,29754,26602,42200,29701,29930,54793,38702,18862,34902,9399,30042,16604,30165,10317,27274,30028,11035,30142,28215,6729,19596,28041,27337,13040,48886,51694,36958,14368,19710,24566,19451,13670,25558,15562,10339,29793,31803,1143972,13931,30063,-1,14424,29690,29872,45945,35700,17706,31679,37682,17160,14491,35889,61121,41935,12419,24956,18682,18629,27080,21441
